Ticker,Name,Date,Time,Open,High,Low,Close,Volume,OPENINT
TCS-EQ,TCS-EQ,03092013,13:25:0,2057,2059,2056.7,2058.75,11087,0
TCS-EQ,TCS-EQ,03092013,13:26:0,2058,2062.6,2056.15,2060.6,9873,0
TCS-EQ,TCS-EQ,03092013,13:27:0,2060.9,2061,2052.15,2053,9014,0
TCS-EQ,TCS-EQ,03092013,13:28:0,2053,2055.25,2050.65,2053.05,5696,0
TCS-EQ,TCS-EQ,03092013,13:29:0,2053.4,2055.95,2051.45,2055,4265,0
TCS-EQ,TCS-EQ,03092013,13:30:0,2055,2056.4,2052.5,2056.35,4301,0
TCS-EQ,TCS-EQ,03092013,13:31:0,2055.15,2056.3,2047.4,2049.1,2998,0
TCS-EQ,TCS-EQ,03092013,13:32:0,2049.55,2052.1,2049.55,2051.75,1910,0
TCS-EQ,TCS-EQ,03092013,13:33:0,2051,2051.75,2050,2050.6,3219,0
TCS-EQ,TCS-EQ,03092013,13:34:0,2050.25,2052,2049.15,2049.15,1550,0
TCS-EQ,TCS-EQ,03092013,13:35:0,2050.05,2050.05,2049.3,2049.35,546,0
TCS-EQ,TCS-EQ,03092013,13:36:0,2049.35,2049.35,2047.1,2047.4,1852,0
TCS-EQ,TCS-EQ,03092013,13:37:0,2047.8,2049.7,2047.35,2049.7,1768,0
TCS-EQ,TCS-EQ,03092013,13:38:0,2048.6,2049.65,2048.05,2048.9,716,0
TCS-EQ,TCS-EQ,03092013,13:39:0,2048.9,2049.6,2048.8,2049.4,1103,0
TCS-EQ,TCS-EQ,03092013,13:40:0,2049.35,2049.55,2046.05,2046.5,2135,0
TCS-EQ,TCS-EQ,03092013,13:41:0,2046,2047.9,2045.3,2047.5,1309,0
TCS-EQ,TCS-EQ,03092013,13:42:0,2047.5,2047.8,2043.3,2044.5,3143,0
TCS-EQ,TCS-EQ,03092013,13:43:0,2044,2044.75,2042.1,2043.85,4706,0
TCS-EQ,TCS-EQ,03092013,13:44:0,2044.6,2044.95,2042.55,2044.95,1493,0
TCS-EQ,TCS-EQ,03092013,13:45:0,2044.95,2046.05,2044.8,2045,1190,0
TCS-EQ,TCS-EQ,03092013,13:46:0,2044.9,2044.9,2043.5,2044.55,1990,0
TCS-EQ,TCS-EQ,03092013,13:47:0,2044.4,2045.5,2044.4,2045.15,1062,0
TCS-EQ,TCS-EQ,03092013,13:48:0,2045.15,2047.5,2045.15,2046.65,2906,0
TCS-EQ,TCS-EQ,03092013,13:49:0,2047.35,2047.35,2044,2046.5,4196,0
TCS-EQ,TCS-EQ,03092013,13:50:0,2046,2047.25,2044.6,2047.1,2438,0
TCS-EQ,TCS-EQ,03092013,13:51:0,2047.45,2048.95,2047,2048.95,2648,0
TCS-EQ,TCS-EQ,03092013,13:52:0,2048.95,2056.55,2048.95,2052,16777,0
TCS-EQ,TCS-EQ,03092013,13:53:0,2052.6,2054,2050,2050,7131,0
TCS-EQ,TCS-EQ,03092013,13:54:0,2049.9,2050,2048.05,2048.55,2365,0
TCS-EQ,TCS-EQ,03092013,13:55:0,2048.55,2051.6,2048.55,2051.15,3045,0
TCS-EQ,TCS-EQ,03092013,13:56:0,2051.1,2051.15,2049,2049.7,1337,0
